"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"SFR - 6x4'","Bike","Warmup, starting easy then building to Z2, efforts in this order: •6x4min SFR, moderate grade climb, Z3/Tempo watts, 50-60 rpm (3 min recovery) ----Do 2 with hands in the drops. SFR = 300-320w.","1.5","","2023-11-13","","101490.109375","235","509","2569.879","","3.03370451927185","9.29300022125244","","78","","137","162","","","0.727317108794877","159.84","54","106","28","6","0","","","","","","47","72","36","28","2","0","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2","","2023-11-14","","11481.5302734375","","","","","1.60283136367798","1.99000000953674","","119","","123","141","","","0.597689179040555","64.18","90","7","0","0","0","","","","","","","","","","","","","","","","",""
"Lactate Ramp Test","Bike","Pre-Test Preparation: Consistency Across Tests: Ensure everything is consistent for effective comparison across tests. Morning of the Test: Nutrition: Have a significant impact on results. Avoid high carbohydrate meals/drinks close to the test to prevent elevated blood glucose and disproportionate energy oxidation from carbohydrates. Recommend fasting for ~3hrs before the test. Warm-Up: Lactate Measurement: Obtain a resting baseline measure of lactate before starting the warm-up. Duration: Around 30-60 minutes, depending on various factors. Can be done prior to official test time in a commercial lab setting. Intensity: Very easy, ideally below 50% of anticipated threshold. The Test: Format: Step test with 5-minute stages, allowing physiological processes to stabilize before increasing to the next level. Continuation: Go to volitional fatigue, regardless of the number of stages completed. Sampling Procedure: Set-Up: Table: Ensure you have a table set at a working height, which is crucial when self-testing on a bike. Hygiene and Organization: Hand Cleaning: Thoroughly clean your hands before starting the test to maintain hygiene. Strip Preparation: Have all the required strips lined up and ready to use, aiming to minimize the time between samplings. Sampling Procedure: Follow this sequence meticulously to ensure accurate and hygienic sampling: Alcohol Swab: Use it to clean the finger that will be lanced. Lancing: Use a sterile lancet to prick the cleaned finger to draw a drop of blood. First Wipe: Use a gauze pad to wipe away the first drop of blood, along with any residual alcohol. Second Wipe (if necessary): If you are particularly sweaty, you may need to wipe away a second drop to ensure a clean sample. Test Strip: Gently place the test strip into the blood drop, ensuring not to touch the skin. The strip is designed to use capillary action to draw up the blood. By following these steps, you can ensure a clean and precise blood sample for your test. Practical Notes: Initial Fitness Estimate: Doesn’t need to be completely accurate; could be from the last test or a recent race. Preparation: Have all materials ready and know the sampling sequence. Erg Mode for Bike Test: Makes it easier for the athlete, allowing focus on the test rather than holding a given power.","1","","2023-11-15","","8100","265","401","647.438","","0.678284704685211","3.31699991226196","","73","","138","175","","","0.822995237393878","45.39","19","9","4","5","5","","","","","","9","11","10","10","1","0","","","","","",""
"Long Intervals - SS Accumulation","Bike","","","","2023-11-16","","97123.046875","241","508","2681.374","","3.10790491104126","8.68099975585938","","82","","137","171","","","0.753976153812473","176.78","83","62","47","7","1","","","","","","41","73","39","27","6","0","","","","","",""
"Endurance","Bike","3-4h @ Z1-Z2 HR. It's just about time on the bike, keep intensity low.","3.5","","2023-11-17","This can be longer, keep up high fuel intake to maximize recovery ahead of tomorrow's gym session.","102571.3984375","230","504","2501.493","","3.02890658378601","9.4069995880127","","82","","129","146","","","0.675449636706082","137.72","115","73","0","0","0","","","","","","37","92","48","5","0","0","","","","","",""
"Hiking","Walk","","","","2023-11-18","","3652.080078125","","","","","0.548292756080627","1.85000002384186","","114","","88","108","","","0.52902067840089","16.76","4","0","0","0","0","","","","","","","","","","","","","","","","",""
"Endurance","Bike","3-4h @ Z1-Z2 HR. It's just about time on the bike, keep intensity low.","3.5","","2023-11-19","This can be longer, keep up high fuel intake to maximize recovery ahead of tomorrow's gym session.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hiking","Walk","","","","2023-11-19","","21391.80078125","","","","","2.25333166122437","2.63700008392334","","141","","121","172","","","0.75509922376168","145.23","17","63","7","5","1","","","","","","","","","","","","","","","","",""
"3x15 min SS","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","5.6366610994373","","2023-11-20","","106824.3828125","230","674","2969.991","","3.59620594978333","8.25100040435791","","80","","137","176","","","0.728391618102827","190.57","81","98","27","18","5","","","","","","50","95","44","22","5","0","","","","","",""
"Sprints, Z3","Bike","Base @ comfortable Z1-Z2 + efforts: -10' low Z3 -4 x 20"" stomps -10' low Z3 -4 x 20"" stomps Recovery between sprints >2', between Z3 and sprints >5'.","1.5","","2023-11-21","","112820.4375","215","514","3144.357","","4.08078956604004","7.67999982833862","","76","","125","148","","","0.652188285862074","172.86","196","42","0","0","0","","","","","","60","135","44","4","1","0","","","","","",""
"Open Water Swimming","Swim","","","","2023-11-21","","2064.31005859375","","","","","0.960723340511322","0.597000002861023","","40","","133","150","","","0.614009341370094","40.09","27","36","0","0","0","","","","","","","","","","","","","","","","",""
"Open Water Swimming","Swim","","","","2023-11-22","","2284.93994140625","","","","","1.14453136920929","0.555000007152557","","40","","126","143","","","0.600034272307275","45.8","61","10","0","0","0","","","","","","","","","","","","","","","","",""
"6x20"" stomps","Bike","Base pace in mostly Z1, with option to ride Z2 once done with sprint work: •10 min Z3 @ 100+ rpm, finishing with a 15"" seated sprint at maximal leg speed •6 x 20sec ""stomps"" - these are done seated, in a big gear (53x15ish), from a near stop (<10 mph), max acceleration. Full recovery between sprints (minimum = 2min). In the sprints prioritize speed production via FORM over power production on the meter. Focus on generating power over the top of the pedal stroke (10-2 on the clock).","1","","2023-11-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hiking","Walk","","","","2023-11-23","","3370.76000976563","","","","","0.543654441833496","1.72200000286102","","112","","120","140","","","0.48781325152712","14.13","30","2","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-11-23","","19379.16015625","","","","","1.63637614250183","3.28999996185303","","164","","148","161","","","0.791735575184047","115.02","3","74","32","0","0","","","","","","","","","","","","","","","","",""
"3x15min","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","4","","2023-11-24","","85598.390625","237","924","2344.297","","2.75894379615784","8.61800003051758","","81","","137","175","","","0.741640449664888","151.54","78","64","12","17","5","","","","","","34","83","23","22","2","2","","","","","",""
"SFR - 6x4'","Bike","Warmup, starting easy then building to Z2, efforts in this order: •6x4min SFR, moderate grade climb, Z3/Tempo watts, 50-60 rpm (2 min recovery) ----Do 2 with hands in the drops. SFR = 300-320w. •12' Z3 @ normal cadence (155-160 bpm)","1.5","","2023-11-26","Note reduction from 3' to 2' recovery in the SFRs.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance 120 min (MxHr)","Run","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2","","2023-11-27","","17038.5703125","","","","","1.42708194255829","3.31699991226196","","166","","","","","","0.792702848051851","100.24","","","","","","","","","","","","","","","","","","","","","",""
"SFR - 6x4'","Bike","Warmup, starting easy then building to Z2, efforts in this order: •6x4min SFR, moderate grade climb, Z3/Tempo watts, 50-60 rpm (3 min recovery) ----Do 2 with hands in the drops. SFR = 300-320w.","1.5","","2023-11-29","","60123.37890625","258","453","1844.588","","1.98166666666667","8.42772342392066","","75","","140","161","","","0.781514524153983","120.75","30","70","25","2","0","","","","","","18","46","30","24","1","0","","","","","",""
"Hiking","Walk","","","","2023-11-29","","12909.6796875","","","","","1.86713695526123","1.9210000038147","","103","","117","147","","","0.54558038364862","62.53","100","8","0","0","0","","","","","","","","","","","","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2.90288046621021","","2023-11-30","","66005.96875","227","390","1895.28","","2.31694444444444","7.91343588898214","","77","","126","153","","","0.6698181367024","103.4","112","30","1","0","0","","","","","","28","90","19","2","0","0","","","","","",""
"Long Interval Workout","Bike","10-15min Warm up Z1/Z2 - 3x15min Z4, 5 min Z1 in between - Finish the ride with Z2 riding.","1.5","","2023-12-01","Do the workout on the same stretch of road, starting from the same spot every interval so you can see how each interval compares to each other (based on where the 15 minutes ends each time). Goal is to have an even split.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2023-12-01","","16252.400390625","","",""," *12/02/2023 Matti Rowe: Did this instead of interval workout given that I felt like ass and my HRV is so low.*","1.4516875743866","3.10999989509583","","162","","122","137","","","0.746488891406672","90.52","80","2","0","0","0","","","","","","","","","","","","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2","","2023-12-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Endurance 240 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","7.16838778470205","","2023-12-03","","145667.078125","227","451","4165.123","","5.06638888888889","7.98657152941499","","77","","133","165","","","0.702053028153504","245.91","134","161","16","4","0","","","","","","81","145","57","19","2","0","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2","","2023-12-04","","72719.5615625083","201","423","1757.085","","2.42027777777778","8.3460991119601","","82","","119","137","","","0.616851123700779","91.83","137","2","0","0","0","","","","","","41","90","13","1","0","0","","","","","",""
"Long Endurance","Bike","Warmup, starting easy then building to Z2, efforts in this order: •6x4min SFR, moderate grade climb, Z3/Tempo watts, 50-60 rpm (3 min recovery) ----Do 2 with hands in the drops. SFR = 300-320w.","2.14285714285714","","2023-12-06","","142559.375","223","569","3441.093"," *12/13/2023 Matti Rowe: Loading a long one in before SD. Felt good, ate well.*","4.30217790603638","9.20499992370605","","79","","128","153","","","0.668183442515145","191.55","184","87","0","0","0","","","","","","50","145","57","5","1","0","","","","","",""
"Running","Run","","","","2023-12-07","","16132.169921875","","",""," *12/13/2023 Matti Rowe: It's not flashy but these little aerobic hits add up.*","1.39051282405853","3.22300004959106","","164","","143","181","","","0.776044784013584","93.52","16","50","10","8","3","","","","","","","","","","","","","","","","",""
"Ghost of Seiler 0","Bike","Warm up for 15-20m progressing from Z1-Z2 - 1x10min high cadence Z3, 100-120 rpm - 5 min recovery - 4x6 min low Z5 (lower end), 2 min Z1 - Low Z2 > Cool Down after intervals.","1.5","","2023-12-08","1. Goal is highest average across intervals, NOT PR attempt in one interval and the rest low. 2. Start at bottom-miiddle of Z5 in first two intervals, increase if feeling good. - Make sure to eat carbohydrates in meals/snacks before this; if done in early am have a gel before you start and a gel halfway through the ride. - Refuel immediately after with food/shake with 4:1 ratio of carbs to protein; e.g. bowl of oatmeal with almonds","87053.9375","239","584","2585.622"," *12/13/2023 Matti Rowe: Only had 3 in me.*","3.03078985214233","7.97900009155273","","74","","135","175","","","0.798738319890736","193.21","75","82","4","11","14","","","","","","43","57","49","8","21","3","","","","","",""
"Loaded Tempo","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","3","","2023-12-09","","55361.83984375","248","882","1874.408"," *12/13/2023 Matti Rowe: Good one. Execution here was legit.*","2.1083652973175","7.29400014877319","","70","","137","167","","","0.833209468405229","146.77","32","58","31","7","0","","","","","","26","26","45","20","4","5","","","","","",""
"Ghost of Seiler 0","Bike","Warm up for 15-20m progressing from Z1-Z2 - 1x10min high cadence Z3, 100-120 rpm - 5 min recovery - 4x6 min low Z5 (lower end), 2 min Z1 - Low Z2 > Cool Down after intervals.","1.5","","2023-12-10","1. Goal is highest average across intervals, NOT PR attempt in one interval and the rest low. 2. Start at bottom-miiddle of Z5 in first two intervals, increase if feeling good. - Make sure to eat carbohydrates in meals/snacks before this; if done in early am have a gel before you start and a gel halfway through the ride. - Refuel immediately after with food/shake with 4:1 ratio of carbs to protein; e.g. bowl of oatmeal with almonds","33775.26171875","264","565","1104.805"," *12/13/2023 Matti Rowe: Something is better than nothing.*","1.17259252071381","8.00100040435791","","74","","136","172","","","0.874730824193385","89.29","26","24","5","11","2","","","","","","14","12","19","10","14","1","","","","","",""
"Running","Run","","","","2023-12-11","","17769.119140625","","",""," *12/13/2023 Matti Rowe: Full viking.*","1.452183842659","3.3989999294281","","165","","142","158","","","0.820829313227943","109.43","5","76","10","0","0","","","","","","","","","","","","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2","","2023-12-12","","","","",""," *12/13/2023 Matti Rowe: Too tired and too much work to get anything in here.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Interval Workout","Bike","10-15min Warm up Z1/Z2 - 3x15min Z4, 5 min Z1 in between - Finish the ride with Z2 riding.","2.32440331502853","","2023-12-14","Do the workout on the same stretch of road, starting from the same spot every interval so you can see how each interval compares to each other (based on where the 15 minutes ends each time). Goal is to have an even split.","88574.0390625","239","509","2618.884"," *12/15/2023 Matti Rowe: 349, 349, 339 - cracked on the last one.*","3.03388888888889","8.10969044703351","","75","","140","174","","","0.771946083131225","177.03","73","69","12","31","9","","","","","","49","78","15","33","8","0","","","","","",""
"Endurance 120 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","2.90288046621021","","2023-12-15","","74067.5703125","225","414","1899.64","","2.35880446434021","8.72200012207031","","80","","127","144","","","0.663045021135212","103.27","117","30","0","0","0","","","","","","25","88","28","1","0","0","","","","","",""
"Sprints, Z3","Bike","Base @ comfortable Z1-Z2 + efforts: -10' low Z3 -4 x 20"" stomps -10' low Z3 -4 x 20"" stomps Recovery between sprints >2', between Z3 and sprints >5'.","1.5","","2023-12-16","","117097.7890625","210","1060","2726.618","","3.63738059997559","8.94200038909912","","80","","130","157","","","0.636784495484486","147.09","131","96","1","0","0","","","","","","62","120","33","2","0","1","","","","","",""
"Endurance 240 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","6.30818125053781","","2023-12-17","","162647.328125","220","628","3953.862","","5.01825380325317","9.00300025939941","","78","","130","158","","","0.664405769649331","221.75","157","152","3","0","0","","","","","","64","170","61","5","1","0","","","","","",""
"Sprints, Z3","Bike","Base @ comfortable Z1-Z2 + efforts: -10' low Z3 -4 x 20"" stomps -10' low Z3 -4 x 20"" stomps Recovery between sprints >2', between Z3 and sprints >5'.","2.01923076923077","","2023-12-19","","104324.078125","230","975","2648.926","","3.2008364200592","9.05399990081787","","79","","131","162","","","0.738828920986504","174.83","136","39","22","2","0","","","","","","50","80","35","22","2","2","","","","","",""
"Endurance 180 min (MxHr)","Bike","Warm up, building from low Zone 1 to high Zone 1; keep cadence over 85 rpm. - Steady Z1 by max heart rate for 45 to 60 min depending on time allowed. - Use the entire zone - don't just ride the top of it; keep cadence 85-95 throughout.- Cool down.","3","","2023-12-20","","101794.65625","218","610","2346.875","","3.01608347892761","9.375","","78","","120","140","","","0.649398240248608","126.8","171","5","0","0","0","","","","","","42","100","36","2","0","0","","","","","",""
"Sprint Work - Bookend SFR Transition","Bike","Z1/Z2 warm up -2x20 sec stomps -2x20 sec standing starts (2+ min recovery between sprints) 2 x 8 min alternating 3 min SFR (50-60 rpm, 300-330w) / 1 min Z4, 95+ rpm (340-360w) - full recovery between. -2x20 sec stomps -2x20 sec standing starts (2+ min recovery)","1.60377358490566","","2023-12-21","","104313.171875","238","927","2578.638"," *12/22/2023 Matti Rowe: Just realizing I only did the first set of stomps and not both. Still, getting some specificity in on my weaknesses.*","3.02823972702026","9.56900024414063","","76","","134","163","","","0.745461105733496","168.33","86","95","13","2","0","","","","","","40","72","44","20","4","2","","","","","",""
"Jai Hot Yoga","Strength","https://www.youtube.com/watch?v=4BOTvaRaDjI","0.25","","2023-12-21","10 minutes doesn't seem like much, but if you do this consistently you'll keep yourself balanced and injury free on the bike, period.","","","","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2023-12-23","","70705.9609375","121","309","985.283","","2.26063752174377","8.6879997253418","","79","","139","169","","","0.654579383940262","109.49","13","119","4","1","0","","","","","","134","1","0","0","0","0","","","","","",""
"Short Interval Workout","Bike","Warm up in Z1/Z2 - 10 min Z3 high cadence (> 100 rpm) - 5 min Z1 - Main Set: 5min Z5, 4 min Z1x5 - Cool Down","1.65675977245232","","2023-12-24","Do the workout on the same stretch of road, starting from the same spot every interval so you can see how each interval compares to each other (based on where the 5 minutes ends each time). Goal is to have an even split.","70274.890625","251","445","2050.725","","2.28113770484924","8.55700016021729","","78","","131","157","","","0.748840932074356","127.19","72","71","2","0","0","","","","","","16","55","51","13","2","0","","","","","",""
"Sprint Work - Bookend SFR Transition","Bike","Z1/Z2 warm up -2x20 sec stomps -2x20 sec standing starts (2+ min recovery between sprints) 2 x 8 min alternating 3 min SFR (50-60 rpm, 300-330w) / 1 min Z4, 95+ rpm (340-360w) - full recovery between. -2x20 sec stomps -2x20 sec standing starts (2+ min recovery)","1","","2023-12-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Open Water Swimming","Swim","","1","","2023-12-26","","1718.40002441406","","","","","0.793846070766449","0.601000010967255","","38","","120","136","","","0.601806306410866","50","47","1","0","0","0","","","","","","","","","","","","","","","","",""
"Mixed Z3 - 35-45'","Bike","3.5-4h mostly Z2 HR. Space Z3 (HR 145-160 bpm) work through the day as it fits terrain: #1 - 10-12 min Z3 natural technique #2 - 10-12 min Z3 on climb alt 1.5 min seated / 30 sec standing #3 - 10-12 min Z3 natural technique #4 - 5-8 min in the final hour, in the drops, 95+ rpm - accelerate the last 20 sec","3.5","","2023-12-27","Fueling @ consistent 50-60 g of carbs per hour today","91792.8125","250","905","2718.006","","3.03096580505371","8.41300010681152","","80","","129","146","","","0.734389772408033","163.26","127","64","0","0","0","","","","","","21","80","67","13","1","0","","","","","",""
"Club Tread","Swim","","","","2023-12-27","","2843.2900390625","","","","","1.19132661819458","0.662999987602234","","35","","125","141","","","0.598754947160473","47.52","68","3","0","0","0","","","","","","","","","","","","","","","","",""
"Long Interval Workout","Bike","10-15min Warm up Z1/Z2 - 3x15min Z4, 5 min Z1 in between - Finish the ride with Z2 riding.","1.5","","2023-12-28","Do the workout on the same stretch of road, starting from the same spot every interval so you can see how each interval compares to each other (based on where the 15 minutes ends each time). Goal is to have an even split.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Open Water Swimming","Swim","","1","","2023-12-28","","2126.48999023438","","","","","1.01439809799194","0.582000017166138","","41","","115","131","","","0.163184917305211","0.44","60","0","0","0","0","","","","","","","","","","","","","","","","",""
"Z2 HR + HC (10x1)","Bike","1-2h @ HR 125-145 bpm Where it fits: 10x1min, 300-330w, 110+ rpm / 1min recovery","1.5","","2023-12-29","","77545.359375","252","531","2283.862","","2.53618979454041","8.49300003051758","","81","","132","153","","","0.740665509074489","138.73","86","72","0","0","0","","","","","","19","65","51","14","2","0","","","","","",""
"Open Water Swimming","Swim","","1","","2023-12-29","","2310.02001953125","","","","","1.04536306858063","0.614000022411346","","36","","128","140","","","0.172017919197538","0.53","51","17","0","0","0","","","","","","","","","","","","","","","","",""
"Better Late Than Cadence 0","Bike","Z2 for 30 min - In the last 30 minutes: 10x1min 110+ cadence Z3/Z4, 1min Z1","3.32445095251211","","2023-12-31","The point of the ending intervals isn't to throw down big power, it's to force your muscles to fire fast.","103514.2578125","252","772","2748.85","","3.04671502113342","9.4379997253418","","83","","144","168","","","0.770062669458056","181.05","24","112","45","12","0","","","","","","24","81","41","32","4","0","","","","","",""
"40/20s (3x8)","Bike","","","","2024-01-02","","83726.9921875","232","627","2084.088"," *01/02/2024 Matti Rowe: Wasn't pretty, but got it done. W30 def affecting me - had weird sensations.*","2.49404859542847","9.32499980926514","","81","","141","172","","","0.75703476046108","143.01","31","89","18","18","2","","","","","","42","66","18","8","5","10","","","","","",""
